index,likes,publish_time,favorites,reposts,duration
164,32000,2025.08.31,24000,5900,1685
165,1678,2025.09.24,1013,134,48421
166,4926,2025.07.06,3028,1361,329
167,8324,2025.07.04,1568,522,5
168,51000,2025.09.21,34000,8859,713
169,452000,2025.09.24,27000,184000,126
171,3858,2025.09.11,2313,83,34758
172,25000,2025.06.28,21000,3557,1450
173,5362,2025.09.18,1351,1001,121
174,1120,2025.09.22,95,27,1130
175,441,2025.07.18,80,16,178
176,1737,2025.09.05,1068,31,1486
177,562000,2025.09.22,30000,95000,11
178,384,2025.09.18,288,19,3715
179,1545,2025.09.17,26,3,15
180,557,2025.09.09,410,114,1675
181,2389000,2025.09.06,342000,393000,6
182,191000,2025.08.24,37000,16000,2054
183,33000,2025.09.13,20000,14000,181
184,3612,2025.09.02,2101,902,1005
185,25000,2025.09.07,52000,23000,5
186,5402,2025.08.15,4835,1694,388
187,18000,2025.09.01,9880,210,35539
188,95000,2025.08.29,79000,57000,1385
189,10000,2025.09.04,2505,2139,273
190,20000,2025.08.21,3978,4818,746
191,112000,2025.07.05,19000,9224,35
192,1974000,2025.07.12,304000,266000,939
193,6853,2025.09.23,4741,200,30373
194,291000,2025.08.11,35000,13000,1103
195,14000,2025.07.30,4904,1979,276
196,26000,2025.09.20,3887,1419,919
197,527000,2025.08.08,144000,218000,278
198,9439,2025.07.21,2378,498,747
199,3982,2025.08.14,3340,469,576
200,42000,2025.07.26,10000,1898,265
201,56000,2025.07.28,56000,12000,1103
202,4131,2025.08.27,2748,4882,180
203,263000,2025.08.22,188000,60000,658
204,4323,2025.09.09,3459,354,1712
205,15000,2025.08.17,4397,3315,233
206,27000,2025.08.17,15000,3909,698
207,18000,2025.09.04,14000,6367,60
208,2912,2025.09.21,1773,314,1209
209,178000,2025.07.14,77000,39000,290
210,5575,2025.07.18,6793,815,947
211,10000,2025.08.17,5496,3182,219
212,166,2025.09.24,172,54,1823
213,1367,2025.07.06,161,41,33
214,193000,2025.07.08,88000,33000,1536
215,20000,2025.09.23,2991,1321,188
216,275000,2025.07.29,170000,39000,2278
217,128,2025.09.22,78,12,1806
218,1239000,2025.07.16,693000,192000,642
219,4454,2025.09.15,1197,1075,267
220,9421,2025.08.06,11000,2370,1811
221,55000,2025.08.25,35000,10000,2118
222,9741,2025.07.09,7742,2475,1749
223,5539,2025.07.18,3965,785,593
224,1090000,2025.07.26,341000,159000,1349
225,49000,2025.09.16,4425,3074,185
226,37000,2025.09.03,13000,10000,513
227,177000,2025.07.28,29000,16000,1317
228,12000,2025.08.06,13000,1980,3580
229,14000,2025.09.19,9526,3627,129
230,6886,2025.08.17,6883,4481,538
231,22000,2025.08.22,20000,13000,209
232,20000,2025.09.22,19000,14000,538
233,561000,2025.08.31,43000,20000,57
234,5654,2025.07.28,3237,1351,1430
235,2981,2025.09.23,4292,952,267
236,13000,2025.07.17,6230,1846,501
237,1086,2025.09.20,1117,55,35925
238,626000,2025.09.25,26000,21000,100
239,2763,2025.09.23,1373,363,420
240,4785,2025.07.28,5226,1558,1668
241,321,2025.07.30,174,92,222
242,32000,2025.08.30,6337,10000,717
243,1072,2025.09.24,482,115,156
244,4478,2025.07.06,5533,2024,1684
245,1218,2025.09.13,878,204,237
246,417,2025.09.22,117,15,815
247,19000,2025.08.05,16000,2687,300
248,2251,2025.09.16,2189,572,473
249,6412,2025.09.15,3898,67,33098
250,69000,2025.08.04,26000,6331,2346
251,4777,2025.09.16,2986,1829,5
252,4222,2025.09.18,3519,922,191
253,4192,2025.08.17,1197,148,1371
254,4668,2025.09.10,2197,1449,29
255,157000,2025.08.27,35000,7347,764
256,790000,2025.09.23,51000,58000,12
257,30000,2025.09.15,32000,19000,1288
258,5052,2025.09.08,979,525,1145
259,819,2025.09.07,309,121,108
260,14000,2025.09.12,10000,9298,397
261,535000,2025.09.24,8737,23000,17
262,543,2025.09.24,709,83,3133
263,167000,2025.08.28,9523,34000,95
264,485,2025.09.24,476,45,3573
265,4854,2025.09.17,2791,1269,48
266,115000,2025.07.09,50000,65000,429
267,7880,2025.09.11,13000,3060,331
268,1127000,2025.09.21,109000,142000,526
269,1098,2025.09.21,1084,94,1203
270,24000,2025.09.07,17000,17000,178
271,1920,2025.07.12,1005,338,790
272,1356,2025.09.14,111,26,5
273,3926,2025.07.28,3351,173,1004
274,265000,2025.09.24,20000,11000,97
275,2722,2025.07.19,729,195,675
276,450,2025.09.13,69,33,40
277,842,2025.09.24,1050,201,3343
278,526,2025.09.24,618,262,6
279,277000,2025.09.15,47000,26000,974
280,783,2025.09.20,102,4,5
281,184000,2025.08.10,20000,35000,958
282,4476,2025.09.16,329,15,9
283,31000,2025.08.02,25000,13000,629
284,13000,2025.06.28,3543,1639,221
285,4165,2025.08.08,3629,322,1649
286,896,2025.09.18,92,18,238
287,83000,2025.09.25,7998,29000,187
288,2146000,2025.07.18,178000,145000,1644
289,5951000,2025.09.23,341000,823000,8
290,787,2025.09.09,161,20,5
291,54000,2025.09.10,5318,12000,601
292,665000,2025.09.23,45000,29000,7
293,31000,2025.08.13,18000,889,30639
294,3020,2025.07.29,1688,833,246
295,23000,2025.08.26,32000,11000,1076
296,212000,2025.08.30,75000,37000,44
297,66000,2025.09.24,3141,7809,1849
298,1521000,2025.09.18,52000,140000,203
299,2003,2025.09.20,663,113,788
300,82000,2025.09.01,5445,21000,7
301,52000,2025.09.23,3077,3351,331
302,9596,2025.09.16,1266,3978,6
303,235,2025.09.23,23,15,636
304,4173,2025.09.07,2692,88,34842
305,135000,2025.09.21,8441,14000,10
306,484000,2025.07.18,56000,52000,1364
307,2379000,2025.09.22,130000,666000,12
308,720000,2025.07.07,84000,31000,461
309,3523,2025.09.09,220,112,5
310,3083000,2025.08.02,157000,651000,778
311,2115,2025.09.23,279,364,626
312,2816,2025.09.14,339,53,9
313,35000,2025.06.27,44000,15000,1264
314,30000,2025.09.21,6387,5539,5
315,3222,2025.09.13,3427,383,2346
316,25000,2025.09.23,5557,1599,52
317,300000,2025.09.24,20000,71000,11
318,39000,2025.07.19,54000,13000,1410
319,6021,2025.09.16,2533,1004,48
320,12000,2025.09.15,6965,504,34173
321,158000,2025.07.03,39000,7650,536
322,17000,2025.08.05,16000,8483,72
323,107000,2025.09.18,79000,31000,1190
324,55000,2025.07.28,13000,7435,87
325,21000,2025.09.23,14000,7257,336
326,1000,2025.09.18,86,4,11
327,2332,2025.09.19,1243,341,32616
328,18000,2025.08.27,12000,5035,7
329,6507,2025.08.27,2724,937,943
330,520,2025.09.23,209,70,165
331,2067,2025.09.24,806,710,535
332,1310,2025.09.03,154,33,16
333,30000,2025.08.09,22000,1999,1735
334,268,2025.08.31,48,5,13
335,649,2025.07.30,231,24,903
336,26000,2025.06.28,18000,18000,150
337,1492,2025.09.03,878,213,1663
338,2108,2025.09.24,482,1001,17
339,8122,2025.07.16,3726,539,1500
340,16000,2025.09.15,4620,967,5
341,3108,2025.07.28,1462,779,909
342,2286,2025.07.24,647,217,156
343,665,2025.09.20,450,87,334
344,64000,2025.09.19,35000,12000,21
345,30000,2025.08.12,6108,4046,260
346,1995,2025.08.16,1803,550,357
347,193000,2025.07.14,111000,27000,1429
348,705000,2025.09.20,30000,32000,9
349,69000,2025.09.24,2779,5363,1416
350,152000,2025.09.04,21000,10000,2026
351,1477,2025.09.24,1338,467,164
352,2437,2025.09.11,2417,737,2401
353,1416,2025.09.18,447,24,1902
354,328,2025.09.21,38,3,179
355,2862,2025.08.18,457,97,1093
356,7550,2025.09.14,4212,105,29138
357,99000,2025.09.23,16000,2262,703
358,857,2025.08.19,542,200,200
359,3579,2025.07.28,3088,422,3587
360,516000,2025.09.23,29000,34000,188
361,2075,2025.07.15,4397,991,1813
362,79000,2025.09.21,22000,16000,291
363,189,2025.09.24,85,9,592
364,9961,2025.09.16,6122,191,32949
365,40000,2025.08.12,27000,5419,274
366,6321,2025.09.10,1628,1120,737
367,127000,2025.09.24,10000,33000,14
368,1333000,2025.09.13,55000,49000,1056
369,834,2025.08.29,296,85,131
370,311000,2025.09.22,33000,11000,865
371,49000,2025.07.28,60000,4964,7699
372,224000,2025.09.18,58000,28000,8
373,537000,2025.09.21,45000,27000,912
374,3254,2025.07.11,1066,48,901
375,2146000,2025.07.06,162000,2108000,237
376,3028000,2025.07.07,121000,284000,586
377,6556,2025.09.24,3252,1546,641
378,190000,2025.09.22,26000,27000,62
379,118000,2025.09.24,4866,3743,599
380,3233,2025.09.24,2717,139,27393
381,2290,2025.09.08,889,5,1469
382,84000,2025.09.23,2064,158000,6
383,56000,2025.07.26,6262,2102,625
384,515,2025.09.19,608,170,730
385,285000,2025.07.17,69000,77000,912
386,3954,2025.08.28,371,286,8
387,1302000,2025.09.20,46000,308000,5
388,17000,2025.09.25,5607,3674,390
389,1031,2025.07.05,573,168,1139
390,28000,2025.08.20,11000,7981,71
391,768000,2025.09.24,51000,64000,403
392,36000,2025.07.14,22000,8385,229
393,14000,2025.09.24,2447,164,350
394,242,2025.09.24,86,153,268
395,492000,2025.07.13,440000,106000,1908
396,8181,2025.08.20,1446,107,284
397,1772000,2025.09.07,61000,89000,891
398,11000,2025.08.23,5881,3523,199
399,25000,2025.08.28,18000,2569,7101
400,330000,2025.09.24,6138,13000,18
401,217000,2025.07.09,119000,203000,912
402,8659,2025.09.19,3908,2242,285
403,15000,2025.09.20,7147,18000,315
404,28000,2025.09.11,3662,2154,222
406,41000,2025.09.05,24000,13000,45
407,21000,2025.07.16,27000,3291,539
408,6889,2025.09.24,6768,1591,286
409,31000,2025.07.18,8471,3454,289
410,942,2025.09.24,368,61,1244
411,37000,2025.09.02,11000,14000,239
412,40000,2025.08.04,9239,2031,305
413,237,2025.06.27,98,33,786
414,6600,2025.09.19,4052,81,35925
415,7860,2025.07.12,9684,2493,2037
416,188000,2025.09.20,82000,93000,220
417,81,2025.09.22,14,6,587
418,7601,2025.09.22,4252,405,45
419,164,2025.09.21,28,1,670
420,270000,2025.09.24,18000,13000,13
421,2023000,2025.09.08,53000,390000,6
422,5003,2025.09.19,4298,231,33683
423,235000,2025.09.20,39000,94000,6
424,91,2025.09.22,77,23,1891
425,688,2025.07.06,341,237,1186
426,302000,2025.09.21,16000,19000,15
427,973000,2025.08.30,53000,173000,7
428,2088,2025.09.21,1883,53,25362
429,17000,2025.09.21,2692,466,5
430,91000,2025.06.30,18000,8196,3006
431,2635000,2025.07.01,295000,548000,15
432,826000,2025.09.21,41000,125000,9
433,5895,2025.07.05,1435,1562,311
434,1054,2025.09.23,73,11,5
435,1609000,2025.07.11,859000,455000,436
436,2695,2025.09.24,1578,357,33255
437,307000,2025.09.01,23000,235000,6
438,52000,2025.09.23,23000,4781,1446
439,258,2025.09.24,73,52,17
440,6270,2025.07.13,2854,1213,470
441,2189,2025.09.21,21,2,5
442,3544,2025.09.14,1487,851,35931
443,2312,2025.09.24,864,1706,49
444,276,2025.09.24,137,16,671
445,146000,2025.08.14,57000,27000,37
446,10000,2025.08.27,24000,11000,722
447,12000,2025.07.22,7096,8113,123
448,5099,2025.09.10,3462,132,32959
449,531000,2025.08.01,29000,29000,46
450,99000,2025.07.12,67000,19000,3965
451,5357,2025.09.24,4155,2593,129
452,57000,2025.09.24,2264,1431,1215
453,29000,2025.09.19,36000,10000,120
454,3183,2025.09.06,270,80,2111
455,60000,2025.07.18,7222,17000,165
456,19000,2025.09.23,762,1851,5
457,4494,2025.07.09,1442,53,1049
458,16000,2025.09.18,8852,344,35353
459,216000,2025.09.24,2085,217,5
460,6627,2025.08.28,2964,3149,840
461,5326,2025.09.24,599,1369,11
462,133000,2025.09.24,4984,3099,1035
463,3076,2025.08.28,965,760,35795
464,180000,2025.09.25,2831,27000,142
465,469000,2025.09.11,181000,119000,1476
466,2117,2025.09.06,70,2,9
467,782,2025.09.14,64,1,5
468,312,2025.09.22,20,4,5
469,1470,2025.09.11,1025,84,32598
470,16000,2025.09.25,94,350,5
471,1539,2025.09.20,573,70,1091
472,83000,2025.08.19,35000,9470,1596
473,39000,2025.09.24,1692,2596,24
474,115000,2025.09.13,67000,69000,507
475,112000,2025.09.22,51000,27000,10774
476,2965000,2025.09.23,78000,180000,32
477,48000,2025.09.05,11000,1446,665
478,32000,2025.09.24,4868,682,886
479,8941,2025.09.25,1659,3702,7
480,83000,2025.08.22,44000,6417,1953
481,3199,2025.09.21,744,66,11
482,18000,2025.07.22,8105,1831,1182
483,153000,2025.09.24,7518,16000,186
484,1658,2025.09.20,1108,105,35660
485,1397000,2025.08.28,108000,62000,27
486,726,2025.08.10,384,62,1042
487,9650,2025.09.01,1780,670,5
488,75000,2025.07.24,16000,2938,541
489,612,2025.09.20,245,54,5
490,2578,2025.09.02,2196,176,3383
491,2131,2025.09.05,98,9,7
492,238,2025.08.07,185,14,1903
493,1374,2025.07.24,742,734,196
494,914,2025.09.16,363,112,34254
495,3410,2025.09.24,81,2,6
496,4802,2025.07.21,4240,143,1905
497,1448,2025.08.05,940,401,266
498,1257,2025.09.18,1444,482,1372
499,1990,2025.09.16,1583,138,32860
500,26000,2025.09.21,768,149,7
501,15000,2025.09.05,1274,262,8
502,4699,2025.09.24,2583,893,3420
503,102000,2025.08.29,8114,2635,5
504,2193,2025.07.28,417,30,1126
505,39000,2025.09.15,20000,657,25483
506,810000,2025.09.20,26000,1568000,5
507,97000,2025.08.08,57000,30000,526
508,11000,2025.08.14,3076,3741,25
509,1805,2025.09.15,498,15,6
510,1405,2025.07.15,439,254,942
511,16000,2025.09.19,11000,607,46740
512,88000,2025.08.21,87000,11000,6
513,32000,2025.09.21,2430,1991,354
514,1472000,2025.09.09,113000,245000,9
515,62000,2025.09.18,1469,1712,15
516,28000,2025.08.07,2572,328,487
517,979,2025.09.11,64,13,5
518,917000,2025.07.26,358000,292000,10755
519,743,2025.09.14,577,79,2397
520,12000,2025.09.08,3673,4365,6
521,5985000,2025.07.09,326000,1859000,554
522,279000,2025.09.23,36000,71000,9
523,888,2025.08.21,311,90,1200
524,5712,2025.09.23,879,1275,5
525,6848,2025.09.10,4656,394,29488
526,3229,2025.07.15,539,125,145
527,563000,2025.09.24,18000,16000,178
528,3375000,2025.08.22,449000,938000,1252
529,9881,2025.08.11,4161,3286,678
530,7952,2025.09.23,2696,1231,5
531,1683,2025.09.11,1432,56,30577
532,160,2025.09.24,149,29,658
533,55000,2025.08.19,29000,27000,283
534,15000,2025.09.11,4760,1790,344
535,374000,2025.09.20,13000,72000,1629
536,56000,2025.09.07,17000,2445,378
537,4747,2025.08.20,2868,1729,1021
538,1777,2025.09.14,1774,52,33955
539,32000,2025.08.13,25000,11000,108
540,320000,2025.09.24,60000,11000,164
541,296000,2025.09.24,25000,9426,449
542,22000,2025.07.15,19000,21000,429
543,5975,2025.08.27,936,2372,5
544,799,2025.09.22,587,64,29679
545,256000,2025.09.01,101000,63000,7
546,4408,2025.09.22,1555,585,3261
547,3626,2025.09.25,456,7024,19
548,56000,2025.08.10,31000,2254,2729
549,49000,2025.09.10,2079,1003,13
550,6428,2025.08.30,4168,75,34348
551,3687000,2025.09.20,109000,318000,33
552,37000,2025.08.08,21000,7154,598
553,12000,2025.09.03,8175,3777,167
554,193000,2025.09.07,12000,38000,190
555,2688,2025.09.24,592,56,536
556,2571,2025.08.30,659,166,9
557,4235,2025.09.15,3125,447,23992
558,110000,2025.09.24,19000,1910,148
559,9274,2025.08.19,15000,4416,590
560,7223,2025.09.24,285,88,1517
561,499000,2025.09.24,8150,145000,180
562,1079,2025.09.08,881,62,35402
563,2792000,2025.09.21,88000,118000,15
564,7502,2025.08.25,9501,2232,595
565,6109,2025.08.29,1494,417,76
566,1248,2025.09.15,72,4,9
567,24000,2025.09.23,3395,4270,786
568,12000,2025.09.20,2719,2088,154
569,24000,2025.09.20,14000,4721,31003
570,331000,2025.09.24,13000,231000,300
571,463000,2025.09.21,12000,61000,124
572,12000,2025.07.22,2296,259,364
573,12000,2025.09.14,6905,622,10
574,102000,2025.09.12,5423,2067,240
575,1562,2025.09.20,1199,130,33990
576,31000,2025.09.20,4284,346,260
577,160000,2025.09.23,34000,28000,3074
578,7845,2025.09.21,1487,188,698
579,7245,2025.09.24,1001,293,5
580,1124,2025.08.28,1098,249,1800
581,429000,2025.09.18,30000,134000,223
582,3457,2025.08.24,2361,384,31828
583,51000,2025.08.08,18000,8486,510
584,123000,2025.08.01,8020,12000,302
585,8622,2025.09.24,1342,9642,205
586,191,2025.09.20,141,25,1979
587,277,2025.09.24,185,25,33815
588,32000,2025.09.24,1061,7061,234
589,240000,2025.08.04,35000,13000,1538
590,699,2025.09.20,520,101,2107
591,238000,2025.09.24,7117,34000,272
592,14000,2025.09.14,9219,1259,32590
593,25000,2025.09.24,1644,1527,190
594,3587,2025.09.10,4462,246,1442
595,158000,2025.09.15,22000,37000,169
596,16000,2025.07.20,6411,737,1577
597,160,2025.09.22,78,16,5
598,1549,2025.09.10,1125,43,31084
599,29000,2025.09.24,1011,12000,5
600,668,2025.09.07,332,6,2082
601,77000,2025.09.02,40000,5743,1808
602,2478000,2025.08.01,467000,530000,650
603,6436,2025.08.19,6361,124,35869
604,2420000,2025.09.09,170000,276000,11
605,88000,2025.07.17,16000,5077,1563
606,281,2025.08.24,423,151,1800
607,317000,2025.09.22,64000,15000,104
608,935,2025.09.24,246,48,1031
609,1520,2025.09.24,1172,85,27393
610,2568,2025.09.16,868,122,3592
611,22000,2025.09.13,7003,901,1415
612,79000,2025.09.24,8139,1868,175
614,67000,2025.09.22,8821,812,706
615,120000,2025.09.22,33000,11000,5769
616,3343000,2025.07.26,307000,478000,126
617,53000,2025.09.24,1382,981,599
618,2734,2025.08.27,2297,149,35997
619,2672000,2025.09.01,239000,428000,601
620,359,2025.09.23,287,68,472
621,3722,2025.09.23,2562,737,175
622,35000,2025.07.08,19000,950,3600
623,249000,2025.09.25,3518,11000,124
624,3472,2025.09.23,2485,78,34708
625,140000,2025.08.16,80000,49000,398
626,1578,2025.09.02,874,32,2360
627,536000,2025.09.16,66000,51000,193
628,49000,2025.08.03,19000,11000,466
629,1130000,2025.09.04,1268000,289000,19
630,1172,2025.09.22,747,67,28744
631,1452,2025.09.13,374,129,1062
632,380000,2025.09.23,11000,26000,12
633,51000,2025.09.24,4846,3361,22
634,18000,2025.09.20,9417,1147,2128
635,6229,2025.08.18,6861,195,33194
636,1269000,2025.09.24,31000,142000,27
637,87000,2025.09.03,20000,7374,495
638,78000,2025.09.21,38000,7273,3590
639,187000,2025.09.23,6370,262000,12
640,8891,2025.09.09,2892,1648,73
641,709,2025.09.08,480,29,31340
642,204000,2025.09.23,6245,120000,6
643,30000,2025.09.21,5103,4682,1803
644,23000,2025.07.18,37000,8206,1721
645,3364,2025.09.12,2985,1902,265
646,17000,2025.07.20,13000,1040,3592
647,177000,2025.09.19,25000,44000,7
648,8611,2025.07.20,4063,1720,8577
649,88000,2025.09.23,14000,6783,675
650,1013,2025.09.23,183,35,3644
651,116000,2025.09.20,6865,5310,16
652,20000,2025.09.13,16000,15000,481
653,2377,2025.09.16,1515,178,24606
654,717000,2025.09.24,8696,39000,9
655,500000,2025.09.24,61000,46000,12
656,31000,2025.07.28,16000,6179,1256
657,2813,2025.09.10,356,64,17
658,43000,2025.09.11,17000,2361,3381
659,786000,2025.09.23,47000,45000,11
660,12000,2025.08.12,14000,341,35515
661,7049,2025.09.18,3039,808,733
662,58000,2025.09.23,4806,6240,2217
663,730,2025.09.24,659,669,933
664,331,2025.09.22,260,31,35769
665,219000,2025.09.21,12000,97000,186
666,251000,2025.09.07,53000,32000,654
667,3147,2025.09.21,354,447,691
668,84000,2025.09.21,18000,1465,276
669,36000,2025.08.21,11000,3502,651
670,1060,2025.08.31,473,12,274
671,96000,2025.09.16,114000,50000,703
672,325000,2025.08.04,137000,50000,305
673,4077,2025.08.04,3812,169,35478
674,181000,2025.07.11,61000,5410,2034
675,5370,2025.09.10,962,493,120
676,89000,2025.09.23,6148,45000,334
677,32000,2025.09.19,20000,7341,29
678,690000,2025.09.23,40000,68000,316
679,3436,2025.09.05,2151,94,35969
680,8641,2025.08.01,6257,265,1313
681,36000,2025.07.19,12000,21000,212
682,18000,2025.06.27,22000,864,866
683,200000,2025.09.22,20000,150000,229
684,2501,2025.07.26,2371,563,1790
685,13000,2025.09.16,9229,235,26938
686,18000,2025.09.12,7267,5543,941
687,374,2025.09.24,118,21,295
688,3058,2025.08.26,2399,175,2185
689,44000,2025.09.24,1880,4190,236
690,57000,2025.09.24,1708,28000,168
692,131000,2025.07.05,11000,131000,383
693,4507,2025.09.06,1153,367,56
694,151000,2025.09.24,12000,2005,612
695,42000,2025.09.21,3298,11000,8
696,65000,2025.09.24,3047,5917,382
697,1461000,2025.09.22,46000,667000,24
698,2677,2025.09.13,1851,104,29374
699,30000,2025.09.16,7403,9606,16
700,5256,2025.09.24,461,163,1010
701,923000,2025.09.22,30000,58000,8
702,1774000,2025.07.22,66000,202000,333
703,15000,2025.08.04,7657,4021,61
704,8969,2025.08.18,5400,170,35955
705,292000,2025.09.03,44000,21000,23
706,14000,2025.09.25,1533,1756,554
707,1751000,2025.09.22,71000,252000,10
708,139000,2025.09.14,43000,16000,899
709,4827,2025.09.24,3110,754,15
710,10000,2025.09.24,658,1951,305
711,36000,2025.09.12,4239,2697,7
712,35000,2025.08.05,22000,9543,876
713,30000,2025.07.23,40000,8893,8
714,1540000,2025.09.16,52000,202000,550
715,190,2025.09.21,34,4,5
