,likes,duration,reposts,favorites
likes,1.0,-0.12980000486519758,0.5777875794008199,0.6711969901478048
duration,-0.12980000486519758,1.0,-0.07274503097242264,-0.07351576329772712
reposts,0.5777875794008199,-0.07274503097242264,1.0,0.6020000128687307
favorites,0.6711969901478048,-0.07351576329772712,0.6020000128687307,1.0
