,likes,duration,reposts,favorites
likes,1.0,-0.09342827591611501,0.6211664462171036,0.6578832890631257
duration,-0.09342827591611501,1.0,-0.0610739885995748,-0.07489759225851485
reposts,0.6211664462171036,-0.0610739885995748,1.0,0.4925638232720215
favorites,0.6578832890631257,-0.07489759225851485,0.4925638232720215,1.0
